,date,HT,MT,bdpocdiscipline
395,19/05/0002,5,1,DECK
396,19/05/0002,7,1,E&I
397,19/05/0002,5,1,MECH
398,19/05/0002,14,2,PROD
399,19/05/0002,2,0,RES
400,20/05/0002,5,1,DECK
401,20/05/0002,7,1,E&I
402,20/05/0002,5,1,MECH
403,20/05/0002,14,2,PROD
404,20/05/0002,2,0,RES
405,21/05/0002,5,1,DECK
406,21/05/0002,7,1,E&I
407,21/05/0002,5,1,MECH
408,21/05/0002,14,2,PROD
409,21/05/0002,2,0,RES
410,22/05/0002,5,1,DECK
411,22/05/0002,7,1,E&I
412,22/05/0002,5,1,MECH
413,22/05/0002,14,2,PROD
414,22/05/0002,2,0,RES
415,23/05/0002,5,1,DECK
416,23/05/0002,7,1,E&I
417,23/05/0002,5,1,MECH
418,23/05/0002,14,2,PROD
419,23/05/0002,2,0,RES
420,24/05/0002,5,1,DECK
421,24/05/0002,7,1,E&I
422,24/05/0002,5,1,MECH
423,24/05/0002,14,2,PROD
424,24/05/0002,2,0,RES
425,25/05/0002,5,1,DECK
426,25/05/0002,7,1,E&I
427,25/05/0002,5,1,MECH
428,25/05/0002,14,2,PROD
429,25/05/0002,2,0,RES
430,26/05/0002,5,1,DECK
431,26/05/0002,6,1,E&I
432,26/05/0002,5,1,MECH
433,26/05/0002,14,2,PROD
434,26/05/0002,2,0,RES
435,27/05/0002,5,1,DECK
436,27/05/0002,6,1,E&I
437,27/05/0002,5,1,MECH
438,27/05/0002,14,2,PROD
439,27/05/0002,2,0,RES
440,28/05/0002,5,1,DECK
441,28/05/0002,6,1,E&I
442,28/05/0002,5,1,MECH
443,28/05/0002,14,2,PROD
444,28/05/0002,2,0,RES
445,29/05/0002,5,1,DECK
446,29/05/0002,6,1,E&I
447,29/05/0002,5,1,MECH
448,29/05/0002,14,2,PROD
449,29/05/0002,2,0,RES
450,30/05/0002,5,1,DECK
451,30/05/0002,6,1,E&I
452,30/05/0002,5,1,MECH
453,30/05/0002,14,2,PROD
454,30/05/0002,2,0,RES
455,31/05/0002,5,1,DECK
456,31/05/0002,6,1,E&I
457,31/05/0002,5,1,MECH
458,31/05/0002,14,2,PROD
459,31/05/0002,2,0,RES
