,wonum,parent,priority,site,bdpocdiscipline,estdur,targstartdate,targcompdate,r_estdur
586,H13828024,,1,HT,E&I,20.0,01/03/0002,30/04/0002,2
587,H13828026,,1,HT,E&I,8.0,01/03/0002,30/04/0002,1
588,H13828028,,1,HT,MECH,40.0,01/03/0002,30/04/0002,4
589,H13828030,,1,HT,PROD,0.5,01/03/0002,30/04/0002,1
590,H13828032,,1,HT,E&I,8.0,01/03/0002,30/04/0002,1
591,H13828035,H13828032,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
592,H13828038,H13828032,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
593,H13828041,H13828032,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
594,H13828044,H13828032,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
595,H13828047,H13828032,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
596,H13828050,H13828032,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
597,H13828053,,1,HT,E&I,8.0,01/03/0002,30/04/0002,1
598,H13828055,H13828053,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
599,H13828057,H13828053,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
600,H13828059,H13828053,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
601,H13828061,H13828053,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
602,H13828063,H13828053,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
603,H13828065,H13828053,1,HT,E&I,1.33333333333333,01/03/0002,30/04/0002,1
604,H13828067,,1,HT,E&I,57.0,01/03/0002,30/04/0002,6
605,H13828069,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
606,H13828071,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
607,H13828073,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
608,H13828075,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
609,H13828077,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
610,H13828079,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
611,H13828081,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
612,H13828083,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
613,H13828085,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
614,H13828087,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
615,H13828089,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
616,H13828091,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
617,H13828093,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
618,H13828095,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
619,H13828097,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
620,H13828099,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
621,H13828101,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
622,H13828103,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
623,H13828105,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
624,H13828107,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
625,H13828109,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
626,H13828111,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
627,H13828113,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
628,H13828115,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
629,H13828117,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
630,H13828119,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
631,H13828121,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
632,H13828123,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
633,H13828125,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
634,H13828127,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
635,H13828129,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
636,H13828131,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
637,H13828133,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
638,H13828135,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
639,H13828137,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
640,H13828139,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
641,H13828141,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
642,H13828143,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
643,H13828145,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
644,H13828147,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
645,H13828149,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
646,H13828151,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
647,H13828153,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
648,H13828155,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
649,H13828157,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
650,H13828159,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
651,H13828161,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
652,H13828163,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
653,H13828165,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
654,H13828167,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
655,H13828169,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
656,H13828171,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
657,H13828173,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
658,H13828175,H13828067,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
